id,release_id,information_system,information_institution,information_storage_vendor,information_filesystem_type,information_client_nodes,information_client_total_procs,io500_score,io500_bw,io500_md,io500_tot_iops,information_data,information_10_node_challenge,information_list_name,information_identifier,information_submitter,information_submission_date,information_embargo_end_date,information_storage_install_date,information_storage_refresh_date,information_filesystem_name,information_filesystem_version,information_client_procs_per_node,information_client_operating_system,information_client_operating_system_version,information_client_kernel_version,information_md_nodes,information_md_storage_devices,information_md_storage_type,information_md_volatile_memory_capacity,information_md_storage_interface,information_md_network,information_md_software_version,information_md_operating_system_version,information_ds_nodes,information_ds_storage_devices,information_ds_storage_type,information_ds_volatile_memory_capacity,information_ds_storage_interface,information_ds_network,information_ds_software_version,information_ds_operating_system_version,information_note,information_best,ior_easy_write,ior_easy_read,ior_hard_write,ior_hard_read,mdtest_easy_write,mdtest_easy_stat,mdtest_easy_delete,mdtest_hard_write,mdtest_hard_read,mdtest_hard_stat,mdtest_hard_delete,find_easy,find_hard,marker_score,marker_md,storage_data,status,include_in_io500,valid_from,valid_to
390,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,16,64,12.510000,2.100000,74.720000,38.240000,zip,,-,2018-11-8,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,4,"Oracle Linux",7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,128GB,SAS,"FDR InfiniBand",7.0,7.5,,,12.31000,10.32,0.06,2.57,181.41,693.87,262.28,6.24,18.81,73.77,6.18,,,-,-,-,VALID,1,1/1/19,10/31/19
274,ISC19,dm11,"HHMI Janelia Research Campus",,"Scale-out NAS",96,960,12.450000,3.220000,48.160000,32.920000,zip,,-,2019-06-16,"Scientific Computing Systems",5/6/19,,3/2018,,,8.1.2,10,"Scientific Linux",7.5,3.10.0-862.14.4.el7.x86_64,"12 All Flash, 56 Hybrid",15/1,SSD,"256GB,128GB",SAS,"Ethernet 40Gbps",,8.1.2,"12 All Flash, 56 Hybrid",15,SSD/HDD,"256GB,128GB",SAS/SATA,"Ethernet 40Gbps",,8.1.2,,,21.67000,38.03,0.02,7.66,47.67,2020.29,45.85,0.52,296.83,451.49,0.29,321,,-,-,-,VALID,1,5/6/19,10/31/19
367,ISC19,Govorun,"Joint Institute for Nuclear Research",RSC,Lustre,24,192,12.080000,3.340000,43.650000,31.220000,zip,,-,2018_1,,1/1/19,,,,,,8,,,,,,,,,,,,,,,,,,,,,true,22.70000,49.26,0.07,1.67,47.58,82.33,46.36,34.91,45.35,61.33,23.07,,,-,-,-,VALID,1,1/1/19,10/31/19
430,ISC19,Govorun,"Joint Institute for Nuclear Research",RSC,Lustre,24,192,12.080000,3.340000,43.650000,31.220000,zip,,-,2018_1,,1/1/19,,,,,,8,,,,,,,,,,,,,,,,,,,,,true,22.70000,49.26,0.07,1.67,47.58,82.33,46.36,34.91,45.35,61.33,23.07,,,-,-,-,VALID,1,1/1/19,10/31/19
276,ISC19,Vast,"HHMI Janelia Research Campus","Vast Data","Scale-out NAS",10,480,11.960000,5.640000,25.370000,25.890000,zip,,-,2019-06-15,"Scientific Computing Systems",6/10/19,,1/2019,,,1.2.3,48,"Scientific Linux",7.6,3.10.0-957.10.1.el7.x86_64,16,,,,NVMeoF,"50 Ethernet",,,4,928,"NVMe,3DXP,SSD",,NVMeoF,"Ethernet 100Gbps",,,,,10.46000,15.81,2.21,2.77,36.13,415.45,47.57,1.08,79.86,63.38,1.09,40,,-,-,-,VALID,1,6/10/19,10/31/19
277,ISC19,Apocrita,"Queen Mary, University Of London",E8,"Spectrum Scale",10,240,11.730000,4.730000,29.110000,26.750000,zip,,-,2019-06-10,"Peter Childs",6/5/19,,11/2018,2018-08,scratch,5.0.2-1,24,CentOS,"CentOS 7.4",3.10.0-693.11.6.el7.x86_64,,,,,,,,,,,,,,,,,,,10.05000,13.45,0.98,3.78,58.67,61.84,35.02,7.38,11.13,9.97,5.33,929,,-,-,-,VALID,1,6/5/19,10/31/19
378,ISC19,"EMSL Cascade",PNNL,,Lustre,126,252,11.120000,4.880000,25.330000,24.640000,,,-,2018_12,,1/1/19,,,,,,2,,,,,,,,,,,,,,,,,,,,,true,17.81000,30.19,0.39,2.72,17.75,61.26,15.63,16.14,23.59,57.04,19.43,,,-,-,-,VALID,1,1/1/19,10/31/19
441,ISC19,"EMSL Cascade",PNNL,,Lustre,126,252,11.120000,4.880000,25.330000,24.640000,,,-,2018_12,,1/1/19,,,,,,2,,,,,,,,,,,,,,,,,,,,,true,17.81000,30.19,0.39,2.72,17.75,61.26,15.63,16.14,23.59,57.04,19.43,,,-,-,-,VALID,1,1/1/19,10/31/19
356,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,16,128,11.010000,1.900000,63.810000,33.310000,zip,,-,2018-11-37,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,8,"Oracle Linux",7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.5,,,10.85000,9.22,0.07,1.94,165.71,496.44,259.75,6.19,19.73,56.46,6.09,,,-,-,-,VALID,1,1/1/19,10/31/19
419,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,16,128,11.010000,1.900000,63.810000,33.310000,zip,,-,2018-11-37,"Clemson ACI",1/1/19,,04/2012,08/2018,ofsdev,7,8,"Oracle Linux",7.5,4.1.12-103.9.4.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.0,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.0,7.5,,,10.85000,9.22,0.07,1.94,165.71,496.44,259.75,6.19,19.73,56.46,6.09,,,-,-,-,VALID,1,1/1/19,10/31/19
350,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,10,80,10.170000,2.320000,44.670000,28.060000,zip,,-,2018-11-31,"Clemson ACI",1/1/19,,04/2012,11/2018,ofsdev,7.1,8,"Oracle Linux",7.5,4.14.35-1818.3.3.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.1,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.1,7.5,,,10.97000,9.96,0.06,4.47,84.80,373.57,101.05,5.82,5.53,88.41,5.77,,,-,-,-,VALID,1,1/1/19,10/31/19
413,ISC19,ofsdev,"Clemson University",Dell,BeeGFS,10,80,10.170000,2.320000,44.670000,28.060000,zip,,-,2018-11-31,"Clemson ACI",1/1/19,,04/2012,11/2018,ofsdev,7.1,8,"Oracle Linux",7.5,4.14.35-1818.3.3.el7uek.x86_64,16,2,SSD,16GB,SATA,"FDR InfiniBand",7.1,7.5,16,12,HDD,16GB,SAS,"FDR InfiniBand",7.1,7.5,,,10.97000,9.96,0.06,4.47,84.80,373.57,101.05,5.82,5.53,88.41,5.77,,,-,-,-,VALID,1,1/1/19,10/31/19
